Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
113,1243A,GA-P4-A9,2/21/2011,EROS,Hand-Collecting,37.0791,-8.313,5.21,0.7,99.3,0,0.474,0.466,0.007,1.034,0.247,,
114,1244A,GA-P4-A10,2/21/2011,EROS,Hand-Collecting,3,-8.313,6.12,0.2,99.8,0,0.572,0.448,-0.127,1.083,0.747,,
115,1245A,GA-P4-A11,2/21/2011,EROS,Hand-Collecting,37.0791,-8.313,6.49,0,100,0,0.585,0.373,-0.094,0.962,0.747,,
116,1246A,GA-P4-A12,2/21/2011,EROS,Hand-Collecting,37.0792,-8.313,7.67,1.1,98.9,0,2.349,1.051,-0.485,1.114,2.737,,
117,1247A,GA-P10-A1,2/21/2011,EROS,Hand-Collecting,37.0796,-8.315,1.96,10.2,89.8,0,0.258,1.013,-0.117,0.979,0.747,-0.243,-2.243
118,1248A,GA-P10-A2,2/21/2011,EROS,Hand-Collecting,37.0796,-8.315,2.03,3.3,96.7,0,0.504,0.826,-0.107,0.881,0.747,,
119,1249A,GA-P10-A3,2/21/2011,EROS,Hand-Collecting,37.0796,-8.315,2.16,2.8,97.2,0,1.081,0.605,-0.174,1.236,1.247,,
120,1250A,GA-P10-A4,2/21/2011,EROS,Hand-Collecting,37.0797,-8.315,2.56,0.2,99.8,0,0.953,0.568,-0.092,1.057,1.247,,
121,1251A,GA-P10-A5,2/21/2011,EROS,Hand-Collecting,37.0798,-8.315,2.74,0,100,0,1.202,0.426,0.014,1.068,1.247,,
122,1252A,GA-P10-A6,2/21/2011,EROS,Hand-Collecting,37.0798,-8.315,3.24,0,100,0,1.299,0.436,0,1.105,1.247,,
123,1253A,GA-P10-A7,2/21/2011,EROS,Hand-Collecting,37.0799,-8.315,4.1,0,100,0,1.189,0.439,0.003,1.016,1.247,,
124,1254A,GA-P10-A8,2/21/2011,EROS,Hand-Collecting,37.08,-8.315,4.98,0,100,0,1.546,0.459,-0.03,1.006,1.747,,
125,1255A,GA-P10-A9,2/21/2011,EROS,Hand-Collecting,37.08,-8.315,5.6,0,100,0,1.076,0.417,-0.08,1.001,1.247,,
126,1256A,GA-P10-A10,2/21/2011,EROS,Hand-Collecting,37.08,-8.315,6.58,0.1,99.9,0,2.594,0.397,-0.032,0.966,2.737,,
127,1257A,GA-P4-A1,3/22/2011,EROS,Hand-Collecting,37.0788,-8.314,0.71,16.6,83.4,0,-0.139,0.863,-0.341,1.167,0.25,-2.243,
128,1258A,GA-P4-A2,3/22/2011,EROS,Hand-Collecting,37.0788,-8.314,0.98,47.6,52.4,0,-1.005,0.985,-0.056,0.688,-2.24,-0.743,
129,1259A,GA-P4-A3,3/22/2011,EROS,Hand-Collecting,37.0789,-8.314,1.38,30.4,69.6,0,-0.537,0.909,-0.21,0.847,0.25,,
130,1260A,GA-P4-A4,3/22/2011,EROS,Hand-Collecting,37.0789,-8.314,1.97,0.4,99.6,0,0.362,0.352,0.087,1.13,0.25,,
131,1261A,GA-P4-A5,3/22/2011,EROS,Hand-Collecting,37.079,-8.313,3.11,1.2,98.8,0,0.291,0.438,-0.002,1.131,0.25,,
132,1262A,GA-P4-A6,3/22/2011,EROS,Hand-Collecting,37.0791,-8.313,4.54,0,100,0,0.534,0.345,-0.038,0.794,0.75,,
133,1263A,GA-P4-A7,3/22/2011,EROS,Hand-Collecting,37.0791,-8.313,6.41,0.2,99.8,0,0.593,0.434,-0.098,1.08,0.75,,
134,1264A,GA-P10-A1,3/22/2011,EROS,Hand-Collecting,37.0797,-8.315,2.31,3.9,96.1,0,1.048,0.714,-0.253,1.378,1.25,,
135,1265A,GA-P10-A2,3/22/2011,EROS,Hand-Collecting,37.0798,-8.315,3.28,0.1,99.9,0,0.958,0.481,0.029,1.046,0.75,,
136,1266A,GA-P10-A3,3/22/2011,EROS,Hand-Collecting,37.0799,-8.315,5.06,0.1,99.9,0,1.043,0.519,0.03,1.024,0.75,,
137,1267A,GA-P10-A4,3/22/2011,EROS,Hand-Collecting,37.0799,-8.315,4.97,0.6,99.4,0,0.572,0.563,0.02,1.025,0.75,,
138,1268A,GA-P10-A5,3/22/2011,EROS,Hand-Collecting,37.08,-8.315,5.22,0.1,99.9,0,1.128,0.425,-0.013,0.968,1.25,,
139,1269A,GA-P4-A1,4/18/2011,EROS,Hand-Collecting,37.0789,-8.314,1.06,63.1,36.9,0,-1.325,0.637,-0.205,0.761,-0.74,-2.243,
140,1270A,GA-P4-A2,4/18/2011,EROS,Hand-Collecting,37.0789,-8.314,1.94,3.8,96.2,0,-0.004,0.464,-0.089,1.097,0.247,,
141,1271A,GA-P4-A3,4/18/2011,EROS,Hand-Collecting,37.079,-8.313,3.19,2.6,97.4,0,0.163,0.522,-0.109,1.122,0.247,,
